,Common name,Taxonomic group,Scientific name,Canadian range / known or potential jurisdictions,Proposed call for bids date,Rationale,Category
0,White-winged Grasshopper,Arthropods,Dissosteira spurcata,"British Columbia, Canadian Wildlife Service, Parks Canada Agency",,"This grasshopper is associated with arid shrub-steppe in the intermountain west. It reaches its northern limit in the southern Okanagan Valley. Within its Canadian range, it is highly localized and has been recently recorded at only two sites. One is a Haynes Lease Wildlife Area at the north end of Osoyoos Lake and the other is a parcel of crown land on the west side of Osoyoos. While the wildlife area is secure, the crown land is under pressure for annexation and development by the town of Osoyoos. It is currently used for off-road driving and hiking. The species could also occur on the east side of Osoyoos Lake on the Osoyoos Indian Reserve. This would not greatly change the status of the species.",2019 (1) species
1,Arctic Orangebush Lichen,Lichens,Xanthaptychia aurantiaca,"Canadian Museum of Nature, Canadian Wildlife Service, Northwest Territories, Parks Canada Agency",2023,"Xanthaptychia aurantiaca is narrowly restricted to western portions of the Canadian Arctic. It is a relatively large bright orange macrolichen that is conspicuous on the landscape. However, there are only 14 known collections. The region has been thoroughly surveyed for lichens (see map under Search Effort), with over 6600 lichens collections known. This suggests that X. aurantiaca is not only narrowly endemic, but also rare within its range. All collections are coastal. Most collections have been made on Banks Island and the Parry Peninsula in the Northwest Territories. This species is threatened by a loss of habitat from rapidly eroding coasts, saline wash resulting from storm surges, and permafrost melting. These threats are due to a reduction in sea ice cover on the Beaufort Sea and changes in weather patterns caused by on-going climate change.",2020 (7) species
2,Horned Lark,Birds,Eremophila alpestris,"Alberta, Alsek Renewable Resources Council, British Columbia, Canadian Museum of Nature, Carmacks Renewable Resources Council, Carcross/Tagish Renewable Resources Council, Canadian Wildlife Service, Dawson District Renewable Resources Council, Dän Keyi Renewable Resources Council, Eeyou Marine Region Wildlife Board, Gwich'in Renewable Resources Board, Laberge Renewable Resources Council, Manitoba, Mayo District Renewable Resources Council, New Brunswick, Nisga'a Joint Fisheries Management Committee, Newfoundland and Labrador, Nunavik Marine Region Wildlife Board, Nova Scotia, Northwest Territories, Nunavut Territory, Nisga'a Wildlife Committee, Nunavut Wildlife Management Board, North Yukon Renewable Resources Council, Ontario, Parks Canada Agency, Porcupine Caribou Management Board, Prince Edward Island, Quebec, Saskatchewan, Sahtu Renewable Resources Board, Selkirk Renewable Resources Council, Teslin Renewable Resources Council, Torngat Wildlife and Plants Co-management Board, Wildlife Management Advisory Council - North Slope, Wildlife Management Advisory Council - Northwest Territories, Wekeezhii Renewable Resources Board, Yukon Fish and Wildlife Management Board, Yukon Territory",2022,"Horned Lark is a Holarctic landbird that occurs in Canada's tundra and prairie grasslands, and other open landscapes from seaside barrens to above the alpine tree-line. One of the eight subspecies that occur in Canada, Streaked Horned Lark, was assessed by COSEWIC as Endangered in 2003 and 2018; the other seven are considered here. Horned Lark subspecies differ in range, body size and colouration. Most subspecies have populations estimated at >1 million mature individuals in Canada, but Pallid Horned Lark and Dusky Horned Lark may have only 15,000 to 20,000 mature individuals each. Overall, the Canadian population of Horned Lark is estimated to be about 28 million mature individuals. After apparent increases in the late 1800s, most populations have declined continuously since the 1940s, with loss of marginal agricultural areas and intensification of agriculture in breeding areas, and loss of native grassland habitat negatively affecting populations on both breeding and wintering grounds. Population estimates and trends are difficult to determine for individual subspecies, and appear to vary substantially. However, at the national level, Breeding Bird Survey data for Horned Lark show a long-term (1970-2018) decline of 89% (95% credible interval: -91%, -86%), corresponding to a trend of -4.4% per year (-4.9%, -4.0%), with a short-term (2008-2018) decline of -58% (-64%, -52%), corresponding to an annual trend of -8.4% (-9.7%, -7.0%).",2020 (7) species
3,Lupine Leafroller Moth,Arthropods,Anacampsis lupinella,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",2023,"Lupine Leafroller Moth (Anacampsis lupinella) ranges in southern Ontario within the dry, open oak woodland, pitch pine-scrub oak barrens where the host plant, Wild Lupine (Lupinus perennis) is present. Wild Lupine is also at-risk and ranked vulnerable (N2N3) in Canada and Ontario (S2S3). Records date from 1901 - 2017 and the species is known from High Park (Toronto), the St. Williams Conservation Reserve (and a nearby private property, both in Norfolk County), and in the Karner Blue Sanctuary( Lambton County). An additional subpopulation may be present in/around Pinery Provincial Park, where a moderate-sized wild lupine population persists. Threats include invasive species that are changing the ecosystem and impacting the host plans, pesticide spray to control non-native Gypsy Moth outbreaks, and habitat conversion and fragmentation.",2020 (7) species
4,Oslar's Roadside Skipper,Arthropods,Amblyscirtes oslari,"Alberta, Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency, Saskatchewan",2023,"Oslar's Roadside Skipper (Amblyscirtes oslari) is a dry, mixed grass prairies, open woodlands, ravines, and canyons prairie butterfly with a restricted range in southern Alberta and Saskatchewan. Adults fly from May to July, there is one generation per season and the larvae feed on blue grama (Bouteloua gracilis) or other grasses. The species is known from eight sites: Lethbridge (AB), Writing-on-stone Provincial Park (AB), Taber (AB), North Pinhorn Grazing Preserve (AB), Estuary (SK), Val Marie (SK), Deer Forks (SK) and Roche Percee (SK). Widespread habitat conversion during the early 1900s and the loss of Plains Bison contributed to the loss of prairie grassland habitat suitable for this species. Current threats include agricultural intensification, habitat fragmentation and lack of connectivity between natural grassland fragments, invasive plants that change soil chemistry and/or outcompete native larval and nectar host plants, and roadside/agricultural pesticide use. There are currently no Canadian records on iNaturalist, BugGuide or other citizen science/online forums.",2020 (7) species
5,Pahaska Skipper,Arthropods,Hesperia pahaska,"Canadian Museum of Nature, Canadian Wildlife Service, Manitoba, Parks Canada Agency, Saskatchewan",2023,"Pahaska Skipper (Hesperia pahaska) is a dry, mixed grass prairie and open pine forest butterfly with a restricted range in southern Saskatchewan and Manitoba. Adults fly from June to July, with one generation per season in Canada and larvae feed on blue grama (Bouteloua gracilis), with fluff grass (Erioneuron pulchellum) also reported as a host plant in other parts of its US range. Records are from 1928 to 2009 from five sites including Surprise Valley (SK), Rosefield (SK), Minton (1928, SK), Grasslands National Park (SK) and Miniota (MB). Widespread habitat conversion during the early 1900's and the loss of Plains Bison contributed to the loss of prairie grassland habitat suitable for this species. Current threats include agricultural intensification, habitat fragmentation and lack of connectivity between natural grassland fragments, invasive plants that change and/or outcompete native larval and nectar host plants, and roadside/agricultural pesticide use. There are currently no Canadian records on iNaturalist, BugGuide or other citizen science/online forums.",2020 (7) species
6,Paintedhand Mudbug,Arthropods,Lacunicambarus polychromatus,"Canadian Museum of Nature, Canadian Wildlife Service, Ontario, Parks Canada Agency",2022,"The Paintedhand Mudbug (Lacunicambarus polychromatus) is a burrowing crayfish known in Canada from one subpopulation in Windsor, Ontario. This freshwater species excavates its own burrows in low-lying habitats close to the water table, including the banks and floodplains of lakes and rivers, roadside ditches, and wetlands. The life history is poorly known although the species consumes both plant material and animals such as insects and worms, seizing passing prey from the mouth of their burrows. Threats include a any form of development that impacts wetland longevity, quality and sustainability: wetland habitat infilling, conversion, water diversion (to wetlands), pesticide/wastewater/roadside salt run-off.",2020 (7) species
7,Simius Roadside Skipper,Arthropods,Notamblyscirtes simius,"Canadian Museum of Nature, Canadian Wildlife Service, Parks Canada Agency, Saskatchewan",2023,"Simius Roadside-Skipper (Notamblyscirtes simius) is a mixed grass prairie butterfly with a restricted range in southern Saskatchewan. Adults fly from May to July, there is one generation per season and the larvae feed on blue grama (Bouteloua gracilis). The species is known from three sites in southern Saskatchewan including Rosefeld (1968), Val Marie (1983) and an unknown collection locality that needs further investigation. There are no known documented occurrences in Canada since at least 1998. Widespread habitat conversion during the early 1900's and the loss of Plains Bison contributed to the loss of prairie grassland habitat suitable for this species. Current threats include agricultural intensification, habitat fragmentation and lack of connectivity between natural grassland fragments, invasive plants that change and/or outcompete native larval and nectar host plants, and roadside/agricultural pesticide use. There are currently no Canadian records on iNaturalist, BugGuide or other citizen science/online forums.",2020 (7) species
8,Bermuda Petrel,Birds,Pterodroma cahow,"Atlantic Ocean, Canadian Museum of Nature, Canadian Wildlife Service, Nova Scotia, Parks Canada Agency",2023,"Bermuda Petrel or Cahow is a small gadfly petrel and one of the world's rarest seabirds. Once thought to be extinct, 8 pairs were found nesting on the Castle Harbour islands in Bermuda in 1951. Numbers have increased to 134 pairs in 2020, in response to intensive conservation and management efforts, with about 80% now nesting in artificial burrows. Recent telemetry tracking studies have shown that Bermuda Petrel regularly forages over deep waters within the Canadian 200-mile Exclusive Economic Zone southeast of Nova Scotia, during incubation and chick-rearing periods in April and May. Significant threats at the Bermudan breeding colonies include competition with native White-tailed Tropicbird for nest sites, effects of pesticides, and predation by introduced rats. The primary threat is posed by increasing frequency and intensity of fall storms that periodically inundate colonies and destroy low-lying nest sites, exacerbated by ongoing sea level rise. Threats at sea are poorly known, but likely include lighting on ships and structures, offshore wind power development, and climate-related range shifts in prey species.",2021 (5) species
9,Canadian Philaronia,Arthropods,Philaronia canadensis,"Canadian Wildlife Service, Ontario, Parks Canada Agency",2022,"The Canadian Philaronia is a spittle bug historically known from a small area of distribution in the Great Lakes region where it occurs in southern Ontario and northern Michigan. There are only 5 confirmed records in the Great Lakes region since 1989. The species was once widespread in Southern Ontario and Michigan, and the number of known subpopulations in Ontario has declined from 15 to 5. The species is found along the shores of lakes and rivers in meadow habitat and its host plants are the goldenrods, Solidago canadensis and Solidago ohioensis, as well as Lindley's Aster, Symphyotrichum ciliolatum and White Snakeroot, Ageratina altissima. Fieldwork is required to confirm sites within the Great Lakes region.",2021 (5) species
