Group,Priority,Common name,Scientific Name,Location
Amphibians,Group 1 - High priority candidates,Canadian Toad,Anaxyrus hemiophrys,"AB, CWS, MB, NT, Parks, SK"
Amphibians,Group 1 - High priority candidates,Plains Spadefoot,Spea bombifrons,"AB, CWS, MB, Parks, SK"
Amphibians,Group 2 - Mid priority candidates,Northwestern Salamander,Ambystoma gracile,"BC, CWS, Parks"
Amphibians,Group 2 - Mid priority candidates,Cope's Grey Treefrog,Dryophytes chrysoscelis,"CWS, MB, Parks"
Amphibians,Group 2 - Mid priority candidates,Ensatina,Ensatina eschscholtzii,"BC, CWS, Parks"
Amphibians,Group 2 - Mid priority candidates,Four-toed Salamander,Hemidactylium scutatum,"CWS, NB, NS, ON, Parks, QC"
Amphibians,Group 2 - Mid priority candidates,Eastern Red-backed Salamander,Plethodon cinereus,"CWS, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 2 - Mid priority candidates,Columbia Spotted Frog,Rana luteiventris,"AB, BC, CWS, Parks, WMAC-NS, YFWMB, YT"
Amphibians,Group 2 - Mid priority candidates,Pickerel Frog,Rana palustris,"CWS, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 2 - Mid priority candidates,Rough-skinned Newt,Taricha granulosa,"BC, CWS, Parks"
Amphibians,Group 3 - Low priority candidates,Blue-spotted Salamander,Ambystoma laterale,"CWS, MB, NB, NL, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Long-toed Salamander,Ambystoma macrodactylum,"AB, BC, CWS, Parks"
Amphibians,Group 3 - Low priority candidates,Spotted Salamander,Ambystoma maculatum,"CWS, MB, NB, NL, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,American Toad,Anaxyrus americanus,"CWS, MB, NB, NL, NS, NU, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Northern Two-lined Salamander,Eurycea bislineata,"CWS, NL, ON, Parks, QC"
Amphibians,Group 3 - Low priority candidates,Gray Treefrog,Hyla versicolor,"CWS, MB, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,American Bullfrog,Lithobates catesbeianus,"CWS, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Green Frog,Lithobates clamitans,"CWS, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Mink Frog,Lithobates septentrionalis,"CWS, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Wood Frog,Lithobates sylvaticus,"AB, BC, CWS, GRRB, MB, NB, NL, NS, NT, ON, Parks, PE, QC, SK, YT"
Amphibians,Group 3 - Low priority candidates,Eastern Newt,Notophthalmus viridescens,"CWS, NB, NL, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Western Red-backed Salamander,Plethodon vehiculum,"BC, CWS, Parks"
Amphibians,Group 3 - Low priority candidates,Spring Peeper,Pseudacris crucifer,"CWS, MB, NB, NS, ON, Parks, PE, QC"
Amphibians,Group 3 - Low priority candidates,Boreal Chorus Frog,Pseudacris maculata,"AB, BC, CWS, MB, NT, ON, Parks, QC, SK, YT"
Amphibians,Group 3 - Low priority candidates,Northern Pacific Treefrog,Pseudacris regilla,"BC, CWS, Parks"
Arthropods,Group 1 - High priority candidates,(common name not available),Andrena caerulea,"BC, CWS, Parks"
Arthropods,Group 1 - High priority candidates,(common name not available),Bombus vandykei,"BC, CWS, Parks"
Arthropods,Group 1 - High priority candidates,Moss's Elfin,Callophrys mossii,"BC, CWS, Parks"
Arthropods,Group 1 - High priority candidates,(common name not available),Copablepharon viridisparsa,"AB, CWS, MB, Parks, SK"
Arthropods,Group 1 - High priority candidates,Nevada Buckmoth,Hemileuca nevadensis,"AB, CWS, MB, Parks, SK"
Arthropods,Group 1 - High priority candidates,(common name not available),Hystrichopsylla schefferi,"BC, CWS, Parks"
Arthropods,Group 1 - High priority candidates,Strecker's Giant Skipper,Megathymus streckeri,"AB, CWS, Parks"
Arthropods,Group 1 - High priority candidates,Simius Roadside Skipper,Notamblyscirtes simius,"CMN, CWS, Parks, SK"
Arthropods,Group 1 - High priority candidates,Indra Swallowtail subspecies,Papilio indra indra,"BC, CMN, CWS, Parks"
Arthropods,Group 1 - High priority candidates,Canadian Philaronia,Philaronia canadensis,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Barren's Dagger Moth,Acronicta albarufa,"CWS, MB, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Beller's Ground Beetle,Agonum belleri,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Andrena edwardsi,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Parasitic Wasp,Apantes samarshalli,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Argyresthia flexilis,"AB, BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Protean Shieldback,Atlanticus testaceus,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Austrotyla borealis,"AB, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Bombus morrisoni,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Bombus variabilis,"CWS, Parks, QC"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Calliopsis scitula,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Cambarus bartonii,"CWS, NB, ON, Parks, QC"
Arthropods,Group 2 - Mid priority candidates,Whitney's Underwing,Catocala whitneyi,"CWS, MB, Parks"
Arthropods,Group 2 - Mid priority candidates,Hoffmann's Checkerspot,Chlosyne hoffmanni,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Pacific Coast Tiger Beetle,Cicindela bellisimi,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Coleotechnites lewisi,"AB, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Copablepharon hopfingerii,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Eastern Tailed Blue (British Columbia population),Cupido comyntas,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Dendrotettix quercus,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Dicromantispa sayi,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Dufourea monardae,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Ellipes gurneyi,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Ghost Tiger Beetle,Ellipsoptera lepida,"AB, CWS, MB, ON, Parks, SK"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Eristalis brousii,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Propertius Duskywing,Erynnis propertius,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Eumenes bollii,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Euxoa unica,"CWS, Parks, SK"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Hesperotettix viridis,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Carr's Diving Beetle,Hydroporus carri,"AB, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Hyperaspis brunnescens,"CWS, NS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Lasioglossum yukonae,"BC, CWS, Parks, YT"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Lasionycta macleani,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Minor Ground Mantid,Litaneutria minor,"AB, BC, CWS, Parks, SK"
Arthropods,Group 2 - Mid priority candidates,Edith's Copper,Lycaena editha,"AB, BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Lypoglossa manitobae,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Northern Beebandit,Megaphorus willistoni,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Melanoplus digitifer,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Melanoplus rugglesi,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Melanoplus scudderi,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Rocky Mountain Grasshopper,Melanoplus spretus,"AB, CWS, Parks, SK"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Melanoplus walshii,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Metator nevadensis,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Contracted Bombing Beetle,Metrius contractus contractus,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Naemia seriata,"CWS, NB, NS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Nebria charlottae,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Gwaii Haanas Ground Beetle,Nebria louisae,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Nephus intrusus,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Nicocles rufus,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Oecanthus laricis,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Gaspé Arctic,Oeneis bore gaspeensis,"CWS, Parks, QC"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Omus dejeanii,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Pachybrachis calcaratus,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Philonthus turbo,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Polites rhesus,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Sandhill Skipper,Polites sabuleti,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Prosimulium doveri,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Scaphinotus merkeli,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Scymnus cervicalis,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Scymnus fraternus,"CWS, ON, Parks, QC"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Scymnus securus,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Sogda enigma,"CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,Bremner's Zerene Fritillary,Speyeria zerene bremnerii,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Stereus arenarius,"AB, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Stichopogon fragilis,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Stygobromus quatsinensis,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Trichiusa robustula,"CWS, ON, Parks"
Arthropods,Group 2 - Mid priority candidates,Olympic Peninsula Millipede,Tubaphe levii,"BC, CWS, Parks"
Arthropods,Group 2 - Mid priority candidates,(common name not available),Xanthorhoe clarkeata,"BC, CWS, Parks"
Birds,Group 1 - High priority candidates,LeConte's Sparrow,Ammospiza leconteii,"AB, BC, CWS, MB, NT, ON, Parks, QC, SK"
Birds,Group 1 - High priority candidates,Horned Lark,Eremophila alpestris,"AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, EMRWB, GRRB, LRRC, MB, MDRRC, NB, NJFMC, NL, NMRWB, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PCMB, PE, QC, SK, SRRB, SRRC, TRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT"
Birds,Group 1 - High priority candidates,Tufted Puffin,Fratercula cirrhata,"CMN, CWS, Parks"
Birds,Group 1 - High priority candidates,Yellow-billed Loon,Gavia adamsii,"AB, BC, CWS, GRRB, MB, NT, NU, NWMB, Parks, QC, SRRB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT"
Birds,Group 1 - High priority candidates,Marbled Godwit,Limosa fedoa,"AB, BC, CMN, CWS, MB, ON, Parks, QC, SK"
Birds,Group 1 - High priority candidates,Northern Gannet,Morus bassanus,"CMN, CWS, Parks"
Birds,Group 1 - High priority candidates,Bermuda Petrel,Pterodroma cahow,"Atlantic Ocean, CMN, CWS, NS, Parks"
Birds,Group 1 - High priority candidates,Buller's Shearwater,Puffinus bulleri,"BC, CMN, CWS, Parks"
Birds,Group 1 - High priority candidates,Rufous Hummingbird,Selasphorus rufus,"AB, BC, CMN, CWS, Parks, YT"
Birds,Group 1 - High priority candidates,American Tree Sparrow,Spizella arborea,"AB, BC, CMN, CWS, MB, NB, NL, NS, NT, NU, ON, Parks, PE, QC, SK, YT"
Birds,Group 1 - High priority candidates,Arctic Tern,Sterna paradisaea,"AB, ARRC, BC, CRRC, CTRRC, CWS, DDRRC, DKRRC, EMRWB, GRRB, LRRC, MB, MDRRC, NB, NJFMC, NL, NMRWB, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PCMB, PE, QC, SK, SRRB, SRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YT"
Birds,Group 1 - High priority candidates,Greater Yellowlegs,Tringa melanoleuca,"CMN, CWS, Parks"
Birds,Group 1 - High priority candidates,Solitary Sandpiper,Tringa solitaria,"CMN, CWS, Parks"
Birds,Group 2 - Mid priority candidates,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,"AB, BC, CWS, MB, NB, NS, ON, Parks, PE, QC, SK"
Birds,Group 2 - Mid priority candidates,Black Tern,Chlidonias niger,"AB, BC, CWS, MB, NB, NS, NT, ON, Parks, QC, SK, WRRB"
Birds,Group 2 - Mid priority candidates,Dusky Grouse,Dendragapus obscurus,"CMN, CWS, Parks"
Birds,Group 2 - Mid priority candidates,Great Black-backed Gull,Larus marinus,"CMN, CWS, Parks"
Birds,Group 2 - Mid priority candidates,Connecticut Warbler,Oporornis agilis,"AB, BC, CWS, MB, NT, NU, ON, Parks, QC, SK"
Birds,Group 2 - Mid priority candidates,Black-legged Kittiwake,Rissa tridactyla,"BC, CMN, CWS, DFO, NB, NL, NS, Parks, PE"
Birds,Group 2 - Mid priority candidates,Mountain Bluebird,Sialia currucoides,"CMN, CWS, Parks"
Birds,Group 3 - Low priority candidates,Surfbird,Aphriza virgata,"CMN, CWS, Parks"
Birds,Group 3 - Low priority candidates,Black Turnstone,Arenaria melanocephala,"CMN, CWS, Parks"
Birds,Group 3 - Low priority candidates,Upland Sandpiper,Bartramia longicauda,"AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, LRRC, MB, MDRRC, NB, NT, NYRRC, ON, Parks, PE, QC, SK, SRRC, TRRC, YFWMB, YT"
Birds,Group 3 - Low priority candidates,Cedar Waxwing,Bombycilla cedrorum,"AB, BC, CMN, CWS, MB, NB, NL, NS, NT, ON, Parks, PE, QC, SK"
Birds,Group 3 - Low priority candidates,Barrow's Goldeneye (Western population),Bucephala islandica,"AB, BC, CMN, CWS, Parks, YT"
Birds,Group 3 - Low priority candidates,Rock Sandpiper,Calidris ptilocnemis,"CMN, CWS, Parks"
Birds,Group 3 - Low priority candidates,Rhinoceros Auklet,Cerorhinca monocerata,"CMN, CWS, Parks"
Birds,Group 3 - Low priority candidates,Brewer's Blackbird,Euphagus cyanocephalus,"AB, BC, CMN, CWS, MB, NT, ON, Parks, SK"
Birds,Group 3 - Low priority candidates,Atlantic Puffin,Fratercula arctica,"CMN, CWS, Parks"
