,Taxonomic group,Common name,Scientific name,Last assessment,Stage of current assessment,Canadian range / known or potential jurisdictions 1,Group
1,Arthropods,Macropis Cuckoo Bee,Epeoloides pilosulus,Endangered May 2011,Initial report in preparation (Fully Updated Report),"AB, CWS, MB, NB, NS, ON, Parks, QC, SK",April 2025 (16) wildlife species
2,Birds,Snowy Owl,Bubo scandiacus,Not at Risk April 1995,Revision to final report (Fully Updated Report),"AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, GRRB, HFTCC, IGC, LRRC, MB, MDRRC, NB, NL, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PE, QC, SK, SRRB, SRRC, TRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT",April 2025 (16) wildlife species
3,Echinodermata (ad hoc),Sunflower Sea Star,Pycnopodia helianthoides,Not applicable,Revision to final report (undefined),"BC, CMN, CWS, DFO, MNJFC, NJFMC, NWC, Parks, Pacific Ocean, TAJFC, TWJFC",April 2025 (16) wildlife species
4,Freshwater fishes,Bull Trout (Western Arctic Population),Salvelinus confluentus,Special Concern November 2012,Revision to final report (Fully Updated Report),"AB, BC, CTRRC, CWS, DFO, GRRB, LRRC, NJFMC, NT, Parks, SRRB, TRRC, YFWMB, YT",April 2025 (16) wildlife species
5,Freshwater fishes,Bull Trout (South Coast British Columbia Population),Salvelinus confluentus,Special Concern November 2012,Revision to final report (Fully Updated Report),"BC, CWS, DFO, Parks, TAJFC, TWJFC",April 2025 (16) wildlife species
6,Freshwater fishes,Bull Trout (Upper Yukon River Population),Salvelinus confluentus,Data Deficient November 2012,Revision to final report (Fully Updated Report),"BC, CWS, DFO, Parks, YT",April 2025 (16) wildlife species
7,Freshwater fishes,Bull Trout (Saskatchewan-Nelson Population),Salvelinus confluentus,Threatened November 2012,Revision to final report (Fully Updated Report),"AB, CWS, DFO, Parks",April 2025 (16) wildlife species
8,Freshwater fishes,Bull Trout (Pacific Population),Salvelinus confluentus,Not at Risk November 2012,Revision to final report (Fully Updated Report),"BC, CWS, DFO, Parks",April 2025 (16) wildlife species
9,Freshwater fishes,Pugnose Minnow,Opsopoeodus emiliae,Threatened May 2012,Revision to final report (Fully Updated Report),"CWS, DFO, ON, Parks",April 2025 (16) wildlife species
10,Lichens,Cupped Fringe Lichen,Heterodermia hypoleuca,Not applicable,Revision to final report (New Report),"CMN, CWS, NB, ON, Parks, QC",April 2025 (16) wildlife species
11,Marine fishes,Greenland Shark,Somniosus microcephalus,Not applicable,Revision to final report (New Report),"Arctic Ocean, Atlantic Ocean, CMN, CWS, DFO, HFTCC, NB, NL, NMRWB, NS, NU, NWMB, Parks, PE, QC, TJFB",April 2025 (16) wildlife species
12,Molluscs,Big-tooth Whitelip,Neohelix dentifera,Not applicable,Revision to final report (New Report),"CMN, CWS, ON, Parks, QC",April 2025 (16) wildlife species
13,Mosses,Roell's Brotherella Moss,Brotherella roellii,Endangered November 2010,Revision to final report (Fully Updated Report),"BC, CMN, CWS, Parks, TWJFC",April 2025 (16) wildlife species
14,Reptiles,Massasauga (Carolinian population),Sistrurus catenatus,Endangered November 2012,Revision to final report (Fully Updated Report),"CMN, CWS, ON, Parks",April 2025 (16) wildlife species
