COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Acadian Flycatcher,,Endangered,2010-04-25,Empidonax virescens,Acadian Flycatcher,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Birds,,Added to list
Acadian Redfish,Atlantic population,Threatened,2010-04-25,Sebastes fasciatus,Acadian Redfish,Atlantic population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acadian Redfish,Bonne Bay population,Special Concern,2010-04-25,Sebastes fasciatus,Acadian Redfish,Bonne Bay population,No Status,,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Acuteleaf Small Limestone Moss,,Endangered,2018-04-27,Seligeria acutifolia,Acuteleaf Small Limestone Moss,,Endangered,2021-04-23,Schedule 1,2021-04-23,British Columbia,Mosses,,Added to list
Alaskan Brook Lamprey,,Data Deficient,2006-04-29,Lethenteron alaskense,,,No Status,,No schedule,,Northwest Territories,Fishes (freshwater),,
Alkaline Wing-nerved Moss,,Threatened,2004-11-01,Pterygoneurum kozlovii,Alkaline Wing-nerved Moss,,Threatened,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Saskatchewan",Mosses,,Added to list
Allegheny Mountain Dusky Salamander,,Non-active,2007-04-22,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,,No Status,2009-03-05,No schedule,2003-06-05,Quebec,Amphibians,,Struck - WS reassignment
Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Appalachian population,Endangered,2021-04-23,Schedule 1,2003-06-05,Quebec,Amphibians,,Uplisted: Threatened to endangered
Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2018-04-27,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Carolinian population,Endangered,2009-03-05,Schedule 1,2003-06-05,Ontario,Amphibians,,Uplisted
American Badger,,Non-active,2000-05-01,Taxidea taxus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Mammals (terrestrial),,
American Badger jacksoni subspecies,,Endangered,2012-11-25,Taxidea taxus jacksoni,American Badger jacksoni subspecies,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Mammals (terrestrial),,Added to list
American Badger jeffersonii subspecies,,Non-active,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,,No Status,2018-05-30,No schedule,2003-06-05,British Columbia,Mammals (terrestrial),,Struck - WS reassignment
American Badger jeffersonii subspecies,Eastern population,Endangered,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Eastern population,Endangered,,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,
American Badger jeffersonii subspecies,Western population,Endangered,2012-11-25,Taxidea taxus jeffersonii,American Badger jeffersonii subspecies,Western population,Endangered,,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,
American Badger taxus subspecies,,Special Concern,2012-11-25,Taxidea taxus taxus,American Badger taxus subspecies,,Special Concern,2018-02-02,Schedule 1,2018-02-02,"Alberta, Manitoba, Ontario, Saskatchewan",Mammals (terrestrial),,Added to list
American Black Bear,,Not at Risk,1999-04-01,Ursus americanus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,
