"Group","Priority","Common name","Scientific Name","Location"
"Amphibians","Group 2 - Mid priority candidates","Northwestern Salamander","Ambystoma gracile","BC, CWS, Parks"
"Amphibians","Group 2 - Mid priority candidates","Ensatina","Ensatina eschscholtzii","BC, CWS, Parks"
"Amphibians","Group 2 - Mid priority candidates","Columbia Spotted Frog","Rana luteiventris","AB, BC, CWS, Parks, WMAC-NS, YFWMB, YT"
"Amphibians","Group 2 - Mid priority candidates","Rough-skinned Newt","Taricha granulosa","BC, CWS, Parks"
"Amphibians","Group 3 - Low priority candidates","Long-toed Salamander","Ambystoma macrodactylum","AB, BC, CWS, Parks"
"Amphibians","Group 3 - Low priority candidates","Wood Frog","Lithobates sylvaticus","AB, BC, CWS, GRRB, MB, NB, NL, NS, NT, ON, Parks, PE, QC, SK, YT"
"Amphibians","Group 3 - Low priority candidates","Western Red-backed Salamander","Plethodon vehiculum","BC, CWS, Parks"
"Amphibians","Group 3 - Low priority candidates","Boreal Chorus Frog","Pseudacris maculata","AB, BC, CWS, MB, NT, ON, Parks, QC, SK, YT"
"Amphibians","Group 3 - Low priority candidates","Northern Pacific Treefrog","Pseudacris regilla","BC, CWS, Parks"
"Arthropods","Group 1 - High priority candidates","(common name not available)","Andrena caerulea","BC, CWS, Parks"
"Arthropods","Group 1 - High priority candidates","(common name not available)","Bombus vandykei","BC, CWS, Parks"
"Arthropods","Group 1 - High priority candidates","Moss's Elfin","Callophrys mossii","BC, CWS, Parks"
"Arthropods","Group 1 - High priority candidates","(common name not available)","Hystrichopsylla schefferi","BC, CWS, Parks"
"Arthropods","Group 1 - High priority candidates","Indra Swallowtail subspecies","Papilio indra indra","BC, CMN, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Beller's Ground Beetle","Agonum belleri","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Andrena edwardsi","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Argyresthia flexilis","AB, BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Bombus morrisoni","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Calliopsis scitula","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Hoffmann's Checkerspot","Chlosyne hoffmanni","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Pacific Coast Tiger Beetle","Cicindela bellisimi","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Copablepharon hopfingerii","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Eastern Tailed Blue (British Columbia population)","Cupido comyntas","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Propertius Duskywing","Erynnis propertius","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Hesperotettix viridis","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Lasioglossum yukonae","BC, CWS, Parks, YT"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Lasionycta macleani","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Minor Ground Mantid","Litaneutria minor","AB, BC, CWS, Parks, SK"
"Arthropods","Group 2 - Mid priority candidates","Edith's Copper","Lycaena editha","AB, BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Northern Beebandit","Megaphorus willistoni","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Melanoplus digitifer","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Melanoplus rugglesi","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Metator nevadensis","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Contracted Bombing Beetle","Metrius contractus contractus","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Nebria charlottae","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Gwaii Haanas Ground Beetle","Nebria louisae","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Nicocles rufus","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Omus dejeanii","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Sandhill Skipper","Polites sabuleti","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Prosimulium doveri","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Scaphinotus merkeli","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Bremner's Zerene Fritillary","Speyeria zerene bremnerii","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Stichopogon fragilis","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Stygobromus quatsinensis","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","Olympic Peninsula Millipede","Tubaphe levii","BC, CWS, Parks"
"Arthropods","Group 2 - Mid priority candidates","(common name not available)","Xanthorhoe clarkeata","BC, CWS, Parks"
"Birds","Group 1 - High priority candidates","LeConte's Sparrow","Ammospiza leconteii","AB, BC, CWS, MB, NT, ON, Parks, QC, SK"
"Birds","Group 1 - High priority candidates","Horned Lark","Eremophila alpestris","AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, EMRWB, GRRB, LRRC, MB, MDRRC, NB, NJFMC, NL, NMRWB, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PCMB, PE, QC, SK, SRRB, SRRC, TRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT"
"Birds","Group 1 - High priority candidates","Yellow-billed Loon","Gavia adamsii","AB, BC, CWS, GRRB, MB, NT, NU, NWMB, Parks, QC, SRRB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT"
"Birds","Group 1 - High priority candidates","Marbled Godwit","Limosa fedoa","AB, BC, CMN, CWS, MB, ON, Parks, QC, SK"
"Birds","Group 1 - High priority candidates","Buller's Shearwater","Puffinus bulleri","BC, CMN, CWS, Parks"
"Birds","Group 1 - High priority candidates","Rufous Hummingbird","Selasphorus rufus","AB, BC, CMN, CWS, Parks, YT"
"Birds","Group 1 - High priority candidates","American Tree Sparrow","Spizella arborea","AB, BC, CMN, CWS, MB, NB, NL, NS, NT, NU, ON, Parks, PE, QC, SK, YT"
