"Taxonomic group","Common name","Scientific name","Common name with population","Last assessment","Stage of current assessment","Canadian range / known or potential jurisdictions 1","Group","Scheduled Assessment","last_assessment_date"
"Arthropods","Valley Grasshopper","Oedaleontus enigma","Valley Grasshopper","Not applicable","Revision to final report (New Report)","BC, CWS, Parks","November 2024 (11) wildlife species","November 2024",NA
"Birds","Lewis's Woodpecker","Melanerpes lewis","Lewis's Woodpecker","Threatened April 2010","Revision to final report","AB, BC, CMN, CWS, Parks","November 2024 (11) wildlife species","November 2024",2010-04-01
"Birds","Short-billed Dowitcher","Limnodromus griseus","Short-billed Dowitcher","Not applicable","Revision to final report (New Report)","AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DKRRC, EMRWB, HFTCC, LRRC, MB, MDRRC, NL, NMRWB, NT, NU, NWMB, ON, Parks, QC, SK, SRRC, TJFB, TRRC, TWPCB, WRRB, YFWMB, YT","November 2024 (11) wildlife species","November 2024",NA
"Birds","Snowy Owl","Bubo scandiacus","Snowy Owl","Not at Risk April 1995","Revision to initial report (Fully Updated Report)","AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, GRRB, HFTCC, IGC, LRRC, MB, MDRRC, NB, NL, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PE, QC, SK, SRRB, SRRC, TRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT","April 2025 (23) wildlife species","April 2025",1995-04-01
"Freshwater fishes","Bull Trout","Salvelinus confluentus","Bull Trout (South Coast British Columbia Population)","Special Concern November 2012","Revision to final report (Fully Updated Report)","BC, CWS, DFO, Parks","April 2025 (23) wildlife species","April 2025",2012-11-01
"Freshwater fishes","Bull Trout","Salvelinus confluentus","Bull Trout (Upper Yukon River Population)","Data Deficient November 2012","Revision to final report (Fully Updated Report)","BC, CWS, DFO, Parks, YT","April 2025 (23) wildlife species","April 2025",2012-11-01
"Freshwater fishes","Bull Trout","Salvelinus confluentus","Bull Trout (Pacific Population)","Not at Risk November 2012","Revision to final report (Fully Updated Report)","BC, CWS, DFO, Parks","April 2025 (23) wildlife species","April 2025",2012-11-01
"Freshwater fishes","Bull Trout","Salvelinus confluentus","Bull Trout (Western Arctic Population)","Special Concern November 2012","Revision to final report (Fully Updated Report)","AB, BC, CWS, DFO, GRRB, NJFMC, NT, Parks, SRRB, YFWMB, YT","April 2025 (23) wildlife species","April 2025",2012-11-01
"Molluscs","Liard Hot Springs Snail","Physella wrighti","Liard Hot Springs Snail","Not applicable","Revision to final report (Fully Updated Report)","BC, CMN, CWS, DFO, Parks","April 2025 (23) wildlife species","April 2025",NA
"Molluscs","Northern Abalone","Haliotis kamtschatkana","Northern Abalone","Endangered April 2009","Revision to final report (Fully Updated Report)","BC, CWS, DFO, MNJFC, NJFMC, Parks, Pacific Ocean, TAJFC, TWJFC","April 2025 (23) wildlife species","April 2025",2009-04-01
