"unique_id","COSEWIC common name","COSEWIC population","COSEWIC status","COSEWIC last assessment date","Scientific name","Legal common name","Legal population","Schedule status","Last status change","SARA schedule","Date added","Range","Taxonomic group","Under consideration for","GIC decision","Domain","Estimated re-assessment"
"Sel_acu_gen","Acuteleaf Small Limestone Moss","general","Endangered",2018-04-27,"Seligeria acutifolia","Acuteleaf Small Limestone Moss",NA,"Endangered",2021-04-23,"Schedule 1",2021-04-23,"British Columbia","Mosses",NA,"Added to list","Terrestrial",2028-04-27
"Pte_koz_gen","Alkaline Wing-nerved Moss","general","Threatened",2004-11-01,"Pterygoneurum kozlovii","Alkaline Wing-nerved Moss",NA,"Threatened",2006-08-15,"Schedule 1",2006-08-15,"British Columbia, Saskatchewan","Mosses",NA,"Added to list","Terrestrial",2014-11-01
"Tax_tax_gen","American Badger","general","Non-active",2000-05-01,"Taxidea taxus",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan","Mammals (terrestrial)",NA,NA,"Terrestrial",2010-05-01
"Tax_tax_gen","American Badger jeffersonii subspecies","general","Non-active",2012-11-25,"Taxidea taxus jeffersonii","American Badger jeffersonii subspecies",NA,"No Status",2018-05-30,"No schedule",2003-06-05,"British Columbia","Mammals (terrestrial)",NA,"Struck - WS reassignment","Terrestrial",2022-11-25
"Tax_tax_Eas","American Badger jeffersonii subspecies","Eastern population","Endangered",2012-11-25,"Taxidea taxus jeffersonii","American Badger jeffersonii subspecies","Eastern population","Endangered",NA,"Schedule 1",2003-06-05,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2022-11-25
"Tax_tax_Wes","American Badger jeffersonii subspecies","Western population","Endangered",2012-11-25,"Taxidea taxus jeffersonii","American Badger jeffersonii subspecies","Western population","Endangered",NA,"Schedule 1",2003-06-05,"British Columbia","Mammals (terrestrial)",NA,NA,"Terrestrial",2022-11-25
"Urs_ame_gen","American Black Bear","general","Not at Risk",1999-04-01,"Ursus americanus",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon","Mammals (terrestrial)",NA,NA,"Terrestrial",2009-04-01
"Ful_ame_gen","American Coot","general","Not at Risk",1991-04-01,"Fulica americana",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon","Birds",NA,NA,"Terrestrial",2001-04-01
"Pel_ery_gen","American White Pelican","general","Not at Risk",1987-04-01,"Pelecanus erythrorhynchos",NA,NA,"No Status",NA,"No schedule",NA,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan","Birds",NA,NA,"Terrestrial",1997-04-01
"Syn_ant_gen","Ancient Murrelet","general","Special Concern",2014-11-28,"Synthliboramphus antiquus","Ancient Murrelet",NA,"Special Concern",2006-08-15,"Schedule 1",2006-08-15,"British Columbia, Pacific Ocean","Birds",NA,"Added to list","Terrestrial",2024-11-28
