Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,Candidate list,Priority,Date nominated,Rationale
Accipiter atricapillus - American Goshawk (Continental population),Terrestrial,Birds,Accipiter atricapillus,American Goshawk (Continental population),SSC,SSC - Group 1,9999,NA
Accipiter atricapillus - American Goshawk (Haida Gwaii (Stads K'un) population),Terrestrial,Birds,Accipiter atricapillus,American Goshawk (Haida Gwaii (Stads K'un) population),SSC,SSC - Group 1,9999,NA
Acrocheilus alutaceus - Chiselmouth,Aquatic,Fishes (freshwater),Acrocheilus alutaceus,Chiselmouth,SSC,SSC - Group 3,9999,NA
Agonum belleri - Beller's Ground Beetle,Terrestrial,Arthropods,Agonum belleri,Beller's Ground Beetle,SSC,SSC - Group 2,9999,NA
Ambystoma gracile - Northwestern Salamander,Terrestrial,Amphibians,Ambystoma gracile,Northwestern Salamander,SSC,SSC - Group 2,9999,NA
Ambystoma macrodactylum - Long-toed Salamander,Terrestrial,Amphibians,Ambystoma macrodactylum,Long-toed Salamander,SSC,SSC - Group 3,9999,NA
Ammodramus nelsoni - Nelson's Sharp-tailed Sparrow,Terrestrial,Birds,Ammodramus nelsoni,Nelson's Sharp-tailed Sparrow,SSC,SSC - Group 2,9999,NA
Ammospiza leconteii - LeConte's Sparrow,Terrestrial,Birds,Ammospiza leconteii,LeConte's Sparrow,SSC,SSC - Group 1,9999,NA
Anaptychia elbursiana - Whiskered Millipede Lichen,Terrestrial,Lichens,Anaptychia elbursiana,Whiskered Millipede Lichen,SSC,SSC - Group 3,9999,NA
Anastrepta orcadensis - Orkney Notchwort,Terrestrial,Mosses,Anastrepta orcadensis,Orkney Notchwort,SSC,SSC - Group 2,9999,NA
Anastrophyllum donnianum - (common name not available),Terrestrial,Mosses,Anastrophyllum donnianum,(common name not available),SSC,SSC - Group 2,9999,NA
Andrena caerulea - (common name not available),Terrestrial,Arthropods,Andrena caerulea,(common name not available),SSC,SSC - Group 1,9999,NA
Andrena edwardsi - (common name not available),Terrestrial,Arthropods,Andrena edwardsi,(common name not available),SSC,SSC - Group 2,9999,NA
Apiocera barri - Northern Desert Fly,Terrestrial,Arthropods,Apiocera barri,Northern Desert Fly,COSEWIC,COSEWIC - Group 1,2024,"This robber fly is restricted in Canada to the hottest grasslands of the southern Okanagan and Similkameen valleys, where it is apparently sparse. It mimics leafcutter bees, and apparently hunts these and other bees and wasps around grassland flowers. The major threats within the small range are probably habitat loss to agricultural and urban development, and (perhaps in the short term) increased fires in a fragmented landscape."
Arctocephalus townsendi - Guadalupe Fur Seal,Aquatic,Mammals (marine),Arctocephalus townsendi,Guadalupe Fur Seal,SSC,SSC - Group 1,9999,NA
Argyresthia flexilis - (common name not available),Terrestrial,Arthropods,Argyresthia flexilis,(common name not available),SSC,SSC - Group 2,9999,NA
Aspicilia aspera - (common name not available),Terrestrial,Lichens,Aspicilia aspera,(common name not available),SSC,SSC - Group 3,9999,NA
Astragalus spaldingii - Spalding's Milk-vetch,Terrestrial,Vascular plants,Astragalus spaldingii,Spalding's Milk-vetch,SSC,SSC - Group 1,9999,NA
Bartramia longicauda - Upland Sandpiper,Terrestrial,Birds,Bartramia longicauda,Upland Sandpiper,SSC,SSC - Group 3,9999,NA
Berardius bairdii - Baird's Beaked Whale,Aquatic,Mammals (marine),Berardius bairdii,Baird's Beaked Whale,SSC,SSC - Group 2,9999,NA
Bombus morrisoni - (common name not available),Terrestrial,Arthropods,Bombus morrisoni,(common name not available),SSC,SSC - Group 2,9999,NA
Bombus vandykei - (common name not available),Terrestrial,Arthropods,Bombus vandykei,(common name not available),SSC,SSC - Group 1,9999,NA
Bombycilla cedrorum - Cedar Waxwing,Terrestrial,Birds,Bombycilla cedrorum,Cedar Waxwing,SSC,SSC - Group 3,9999,NA
Bryoria carlottae - Languid Horsehair Lichen,Terrestrial,Lichens,Bryoria carlottae,Languid Horsehair Lichen,SSC,SSC - Group 3,9999,NA
Bryoria cervinula - Mottled Horsehair Lichen,Terrestrial,Lichens,Bryoria cervinula,Mottled Horsehair Lichen,SSC,SSC - Group 3,9999,NA
Bucephala islandica - Barrow's Goldeneye (Western population),Terrestrial,Birds,Bucephala islandica,Barrow's Goldeneye (Western population),SSC,SSC - Group 3,9999,NA
Cacaliopsis nardosomia - Silvercrown,Terrestrial,Vascular plants,Cacaliopsis nardosomia,Silvercrown,SSC,SSC - Group 1,9999,NA
Calliopsis scitula - (common name not available),Terrestrial,Arthropods,Calliopsis scitula,(common name not available),SSC,SSC - Group 2,9999,NA
Callophrys mossii - Moss's Elfin,Terrestrial,Arthropods,Callophrys mossii,Moss's Elfin,SSC,SSC - Group 1,9999,NA
Chaenothecopsis tsugae - Hemlock Stubble,Terrestrial,Lichens,Chaenothecopsis tsugae,Hemlock Stubble,SSC,SSC - Group 2,9999,NA
Chlidonias niger - Black Tern,Terrestrial,Birds,Chlidonias niger,Black Tern,SSC,SSC - Group 2,9999,NA
Chlosyne hoffmanni - Hoffmann's Checkerspot,Terrestrial,Arthropods,Chlosyne hoffmanni,Hoffmann's Checkerspot,SSC,SSC - Group 2,9999,NA
Cicindela bellisimi - Pacific Coast Tiger Beetle,Terrestrial,Arthropods,Cicindela bellisimi,Pacific Coast Tiger Beetle,SSC,SSC - Group 2,9999,NA
Copablepharon hopfingerii - (common name not available),Terrestrial,Arthropods,Copablepharon hopfingerii,(common name not available),SSC,SSC - Group 2,9999,NA
Coregonus artedi - Cisco (Lake Herring),Aquatic,Fishes (freshwater),Coregonus artedi,Cisco (Lake Herring),SSC,SSC - Group 2,9999,NA
Coregonus autumnalis - Arctic Cisco,Aquatic,Fishes (freshwater),Coregonus autumnalis,Arctic Cisco,SSC,SSC - Group 2,9999,NA
Coregonus clupeaformis - Lake Whitefish,Aquatic,Fishes (freshwater),Coregonus clupeaformis,Lake Whitefish,SSC,SSC - Group 1,9999,NA
Coregonus nasus - Broad Whitefish,Aquatic,Fishes (freshwater),Coregonus nasus,Broad Whitefish,SSC,SSC - Group 3,9999,NA
Coregonus sardinella - Least Cisco,Aquatic,Fishes (freshwater),Coregonus sardinella,Least Cisco,SSC,SSC - Group 2,9999,NA
