COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Pink Sand-verbena,NA,Endangered,2004-05-01,Abronia umbellata,Pink Sand-verbena,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,NA,Added to list,2014-05-01,Terrestrial,Abronia umbellata - Pink Sand-verbena,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blackline Prickleback,NA,Data Deficient,2003-05-01,Acantholumpenus mackayi,Blackline Prickleback,NA,NA,9999-01-01,NA,9999-01-01,Arctic Ocean,Fishes (marine),NA,NA,2013-05-01,Aquatic,Acantholumpenus mackayi - Blackline Prickleback,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Cooper's Hawk,NA,Not at Risk,1996-04-01,Accipiter cooperii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,NA,NA,2006-04-01,Terrestrial,Accipiter cooperii - Cooper's Hawk,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Goshawk atricapillus subspecies,NA,Not at Risk,1995-04-01,Accipiter gentilis atricapillus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,NA,NA,2005-04-01,Terrestrial,Accipiter gentilis atricapillus - Northern Goshawk atricapillus subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Goshawk laingi subspecies,NA,Threatened,2013-05-03,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,NA,Added to list,2023-05-03,Terrestrial,Accipiter gentilis laingi - Northern Goshawk laingi subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sharp-shinned Hawk,NA,Not at Risk,1997-04-01,Accipiter striatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,NA,NA,2007-04-01,Terrestrial,Accipiter striatus - Sharp-shinned Hawk,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Large-headed Woolly Yarrow,NA,Special Concern,2018-04-27,Achillea millefolium var. megacephala,Large-headed Woolly Yarrow,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Achillea millefolium var. megacephala - Large-headed Woolly Yarrow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Shortnose Sturgeon,NA,Special Concern,2015-05-01,Acipenser brevirostrum,Shortnose Sturgeon,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,"New Brunswick, Nova Scotia",Fishes (freshwater),NA,Added to list,2025-05-01,Aquatic,Acipenser brevirostrum - Shortnose Sturgeon,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,NA,Non-active,2005-05-05,Acipenser fulvescens,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Ontario, Quebec, Saskatchewan",Fishes (freshwater),NA,NA,2015-05-05,Aquatic,Acipenser fulvescens - Lake Sturgeon,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Great Lakes - Upper St. Lawrence population,Threatened,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Great Lakes - Upper St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,"Ontario, Quebec",Fishes (freshwater),Addition,Pending,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Great Lakes - Upper St. Lawrence population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Lake of the Woods - Rainy River population,Non-active,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Lake of the Woods - Rainy River population,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Lake of the Woods - Rainy River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Nelson River population,Non-active,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Nelson River population,No Status,9999-01-01,No schedule,9999-01-01,Manitoba,Fishes (freshwater),NA,NA,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Red-Assiniboine Rivers - Lake Winnipeg population,Non-active,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Red-Assiniboine Rivers - Lake Winnipeg population,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Ontario, Saskatchewan",Fishes (freshwater),NA,NA,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Red-Assiniboine Rivers - Lake Winnipeg population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Saskatchewan - Nelson River population,Endangered,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Saskatchewan - Nelson River population,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Ontario, Saskatchewan",Fishes (freshwater),Addition,Pending,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Saskatchewan - Nelson River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Saskatchewan River population,Non-active,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Saskatchewan River population,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Fishes (freshwater),NA,NA,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Saskatchewan River population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Southern Hudson Bay - James Bay population,Special Concern,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Southern Hudson Bay - James Bay population,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Manitoba, Ontario, Quebec",Fishes (freshwater),NA,Added to list,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Southern Hudson Bay - James Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Western Hudson Bay population,Endangered,2017-04-28,Acipenser fulvescens,Lake Sturgeon,Western Hudson Bay population,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Saskatchewan",Fishes (freshwater),Addition,Pending,2027-04-28,Aquatic,Acipenser fulvescens - Lake Sturgeon (Western Hudson Bay population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Lake Sturgeon,Western population,Non-active,2006-11-24,Acipenser fulvescens,Lake Sturgeon,Western population,NA,9999-01-01,No schedule,9999-01-01,"Alberta, Manitoba, Saskatchewan",Fishes (freshwater),NA,NA,2016-11-24,Aquatic,Acipenser fulvescens - Lake Sturgeon (Western population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
